time,Bz,Dens,Speed,Temp,Pdyn,Kp,Scalar_B,BZ_omni,flux,N_thermal,N_scint,N_rad,N_total_raw,N_total,storm_flag,SNR_lin,SNR_dB,SNR_dB_ml,data_loss_pct,storm_risk
2026-03-27 23:25:00,-4.3,0.15,402.08,55308.0,0.0404979157632,,5.0,,0.0,7.636090834415999e-12,2.425024896e-14,0.0,7.660341083375998e-12,7.660341083375998e-12,False,0.13054249009487823,-8.842481074041697,-8.830455333809855,59.235390867427014,MODERATE
2026-03-27 23:26:00,-4.3,0.14,404.99,50970.0,0.03834715124338001,,5.0,,0.0,7.0371655064399995e-12,2.2962366014000004e-14,0.0,7.060127872453999e-12,7.060127872453999e-12,False,0.14164049406266835,-8.488125670288916,-8.476413109239457,55.339213355107894,MODERATE
2026-03-27 23:27:00,-4.1,0.14,403.56,51848.0,0.03807682548768001,,5.0,,0.0,7.158386446495999e-12,2.2800494304000005e-14,0.0,7.181186940799999e-12,7.181186940799999e-12,False,0.1392527458543779,-8.561962324368395,-8.549538988644493,56.15099921127499,MODERATE
2026-03-27 23:28:00,-4.03,0.13,401.18,52476.0,0.03494124469004001,,5.0,,0.0,7.245091173551999e-12,2.0922901012000003e-14,0.0,7.266014074563999e-12,7.266014074563999e-12,False,0.1376270386676901,-8.612962347735387,-8.599250273226534,56.70100775179528,MODERATE
2026-03-27 23:29:00,-4.04,0.13,393.27,42511.0,0.03357696668859,,5.0,,0.0,5.869274923372e-12,2.0105968077e-14,0.0,5.889380891449e-12,5.889380891449e-12,False,0.16979713461086127,-7.70069642909448,-7.69224586099257,46.54328894682829,LOW
2026-03-27 23:30:00,-4.09,0.2,386.63,34685.0,0.04992724080460001,,5.0,,0.0,4.788779391619999e-12,2.989655138000001e-14,0.0,4.818675942999999e-12,4.818675942999999e-12,False,0.20752588715841772,-6.8292772088533695,-6.834153805299604,37.177003978676744,LOW
2026-03-27 23:31:00,-4.1,0.24,384.1,37634.0,0.05913115024800001,,5.0,,0.0,5.1959326401679995e-12,3.540787440000001e-14,0.0,5.231340514568e-12,5.231340514568e-12,False,0.19115559333506305,-7.186129897244004,-7.187078168274125,40.95526933343011,LOW
2026-03-27 23:32:00,-3.91,0.15,381.19,35644.0,0.036399106933050006,,5.0,,0.0,4.921183584687999e-12,2.1795872415e-14,0.0,4.942979457102999e-12,4.942979457102999e-12,False,0.2023071325054796,-6.939888055476979,-6.940460011839222,38.30096982623874,LOW
2026-03-27 23:33:00,-4.16,0.2,388.64,42931.0,0.05044771056640001,,5.0,,0.0,5.927262161212e-12,3.0208209920000005e-14,0.0,5.957470371132e-12,5.957470371132e-12,False,0.16785647895886832,-7.750618911047924,-7.744912975634809,47.13341792371507,LOW
2026-03-27 23:34:00,-4.12,0.13,387.59,47497.0,0.03261406635851,,5.0,,0.0,6.5576662754439994e-12,1.9529381053e-14,0.0,6.5771956564969994e-12,6.5771956564969994e-12,False,0.1520404823311274,-8.18040761316929,-8.166857287095574,51.87626305138498,LOW
