time,Bz,Dens,Speed,Temp,Pdyn,Kp,Scalar_B,BZ_omni,flux,N_thermal,N_scint,N_rad,N_total,SNR_lin,SNR_dB,storm_flag,data_loss_pct
2026-03-28 06:51:00,-4.54,0.32,401.28,62101.0,0.08605210116095999,,5.0,,0.0,1.38064852e-14,2.29568192e-11,0.0,2.29706256852e-11,4.25636014368354,6.290383678295597,False,0.18506173180474245
2026-03-28 06:52:00,-4.59,0.25,390.73,43948.0,0.06373969698575001,,5.0,,0.0,1.38064852e-14,2.3145365e-11,0.0,2.3159171485199998e-11,4.221707832011174,6.254881741786696,False,0.19173697537799247
2026-03-28 06:53:00,-4.53,0.24,383.15,30675.0,0.05883901213799999,,5.0,,0.0,1.38064852e-14,2.2833912e-11,0.0,2.28477184852e-11,4.279256841565677,6.313683536788757,False,0.1808073713611213
2026-03-28 06:54:00,-4.56,0.26,382.23,26910.0,0.06343652139318001,,5.0,,0.0,1.38064852e-14,2.29987596e-11,0.0,2.30125660852e-11,4.248602927634307,6.282461440348048,False,0.18653091205739175
2026-03-28 06:55:00,-4.55,0.33,385.12,37110.0,0.08173772707584002,,5.0,,0.0,1.38064852e-14,2.30041792e-11,0.0,2.30179856852e-11,4.247602591256419,6.281438770710395,False,0.18672141276184306
2026-03-28 06:56:00,-4.55,0.37,386.87,44316.0,0.09248010244451,,5.0,,0.0,1.38064852e-14,2.30362838e-11,0.0,2.3050090285199998e-11,4.241686450344867,6.275385618896614,False,0.18785296387658443
2026-03-28 06:57:00,-4.53,0.25,393.31,80015.0,0.06458422567175,,5.0,,0.0,1.38064852e-14,2.2846655000000002e-11,0.0,2.28604614852e-11,4.276871475462399,6.311261994417191,False,0.18124494010413453
2026-03-28 06:58:00,-4.45,0.28,389.4,59585.0,0.070903291536,,5.0,,0.0,1.38064852e-14,2.2468064e-11,0.0,2.24818704852e-11,4.348893287430078,6.383787511353608,False,0.16858678523214443
2026-03-28 06:59:00,-4.56,0.27,379.32,22863.0,0.06487714337616,,5.0,,0.0,1.38064852e-14,2.30048328e-11,0.0,2.30186392852e-11,4.247481983212683,6.281315453732414,False,0.1867443970997235
2026-03-28 07:00:00,-4.61,0.18,374.84,18078.0,0.042235810695360004,,5.0,,0.0,1.38064852e-14,2.31849424e-11,0.0,2.31987488852e-11,4.214505537595321,6.247466288087862,False,0.19316132019601961
2026-03-28 07:01:00,-4.71,0.29,385.4,36692.0,0.07193460938799998,,5.0,,4.0250901633953616e-08,1.38064852e-14,2.3773532120752704e-11,0.0,2.3787338605952703e-11,4.110222554173914,6.138653380397843,False,0.21531812418557855
2026-03-28 07:02:00,-4.71,0.27,385.49,31120.0,0.06700488533109002,,5.0,,8.050180326790723e-08,1.38064852e-14,2.3758164841505407e-11,0.0,2.3771971326705406e-11,4.112879588245278,6.141459949635573,False,0.21471596190201875
2026-03-28 07:03:00,-4.72,0.26,390.93,36529.0,0.06635716421958002,,5.0,,1.2075270490186087e-07,1.38064852e-14,2.380328396225811e-11,0.0,2.381709044745811e-11,4.105088144903668,6.133224867744078,False,0.21648762236208222
